customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,first_purchase,last_purchase,lifespan_days,avg_purchase_value,lifespan_years,purchases_per_year,estimated_clv
CUST_00001,77,5,584.12,4,2,2,422,Potential Loyalists,2024-01-06,2024-10-16,284,116.824,0.7775496235455168,6.430457746478873,2253.7
CUST_00002,291,3,266.06,3,1,1,311,Need Attention,2023-06-10,2024-03-16,280,88.68666666666667,0.7665982203969883,3.913392857142857,1041.2
CUST_00003,927,1,49.75,1,1,1,111,Hibernating,2022-06-19,2022-06-19,0,49.75,0.08213552361396304,12.175,1817.12
CUST_00004,450,1,94.75,2,1,1,211,Hibernating,2023-10-09,2023-10-09,0,94.75,0.08213552361396304,12.175,3460.74
CUST_00005,326,30,5536.91,3,5,5,355,Loyal Customers,2022-08-08,2024-02-10,551,184.56366666666665,1.5085557837097878,19.88656987295826,11011.01
CUST_00006,609,7,1174.3899999999999,1,2,3,123,Hibernating,2022-03-28,2023-05-03,401,167.76999999999998,1.0978781656399725,6.3759351620947635,3209.07
CUST_00007,261,3,368.61,3,1,1,311,Need Attention,2023-06-26,2024-04-15,294,122.87,0.8049281314168378,3.7270408163265305,1373.82
CUST_00008,40,8,1300.27,5,3,3,533,Potential Loyalists,2023-10-17,2024-11-22,402,162.53375,1.1006160164271048,7.26865671641791,3544.21
CUST_00009,476,1,187.28,2,1,1,211,Hibernating,2023-09-13,2023-09-13,0,187.28,0.08213552361396304,12.175,6840.4
CUST_00010,184,7,833.27,4,2,2,422,Potential Loyalists,2023-08-04,2024-07-01,332,119.03857142857143,0.9089664613278576,7.70105421686747,2750.17
CUST_00011,35,17,2512.7799999999997,5,4,4,544,Champions,2023-05-27,2024-11-27,550,147.8105882352941,1.5058179329226558,11.289545454545454,5006.14
CUST_00012,709,3,564.04,1,1,2,112,Hibernating,2022-08-11,2023-01-23,165,188.01333333333332,0.4517453798767967,6.6409090909090915,3745.74
CUST_00013,218,8,1051.29,3,3,3,333,Need Attention,2023-08-29,2024-05-28,273,131.41125,0.7474332648870636,10.703296703296704,4219.6
CUST_00014,20,8,1235.5900000000001,5,3,3,533,Potential Loyalists,2023-09-24,2024-12-12,445,154.44875000000002,1.218343600273785,6.5662921348314605,3042.47
CUST_00015,107,9,1042.29,4,3,3,433,Potential Loyalists,2023-03-10,2024-09-16,556,115.81,1.5222450376454484,5.912320143884892,2054.12
CUST_00016,719,1,22.4,1,1,1,111,Hibernating,2023-01-13,2023-01-13,0,22.4,0.08213552361396304,12.175,818.16
CUST_00017,304,3,308.59,3,1,1,311,Need Attention,2023-06-07,2024-03-03,270,102.86333333333333,0.7392197125256673,4.058333333333334,1252.36
CUST_00018,322,5,521.3,3,2,2,322,Need Attention,2023-07-10,2024-02-14,219,104.25999999999999,0.5995893223819302,8.33904109589041,2608.29
CUST_00019,583,3,161.42000000000002,1,1,1,111,Hibernating,2022-11-15,2023-05-29,195,53.80666666666667,0.5338809034907598,5.619230769230769,907.06
CUST_00020,596,7,793.1899999999999,1,2,2,122,Hibernating,2022-05-14,2023-05-16,367,113.31285714285714,1.0047912388774811,6.966621253405995,2368.22
CUST_00021,31,9,1106.12,5,3,3,533,Potential Loyalists,2023-12-27,2024-12-01,340,122.9022222222222,0.9308692676249144,9.668382352941176,3564.8
CUST_00022,483,14,1823.6499999999999,2,4,4,244,Cannot Lose Them,2022-04-27,2023-09-06,497,130.26071428571427,1.3607118412046544,10.288732394366196,4020.65
CUST_00023,833,1,96.81,1,1,1,111,Hibernating,2022-09-21,2022-09-21,0,96.81,0.08213552361396304,12.175,3535.99
CUST_00024,486,34,8546.960000000001,2,5,5,255,Cannot Lose Them,2022-02-11,2023-09-03,569,251.38117647058826,1.5578370978781657,21.82513181019332,16459.28
CUST_00025,209,1,12.63,3,1,1,311,Need Attention,2024-06-06,2024-06-06,0,12.63,0.08213552361396304,12.175,461.31
CUST_00026,51,13,2121.77,4,4,4,444,Champions,2023-06-17,2024-11-11,513,163.21307692307693,1.404517453798768,9.255847953216374,4532.03
CUST_00027,42,19,5175.79,5,5,5,555,Champions,2022-09-30,2024-11-20,782,272.41,2.1409993155373033,8.874360613810742,7252.39
CUST_00028,662,3,363.96,1,1,1,111,Hibernating,2022-07-25,2023-03-11,229,121.32,0.6269678302532512,4.784934497816594,1741.52
CUST_00029,50,11,2193.29,4,4,4,444,Champions,2023-10-28,2024-11-12,381,199.39,1.0431211498973305,10.545275590551181,6307.87
CUST_00030,23,5,826.97,5,2,2,522,Potential Loyalists,2024-03-23,2024-12-09,261,165.394,0.7145790554414785,6.997126436781609,3471.85
CUST_00031,303,5,568.56,3,2,2,322,Need Attention,2023-07-16,2024-03-04,232,113.71199999999999,0.6351813826146475,7.8717672413793105,2685.34
CUST_00032,74,10,1656.06,4,3,3,433,Potential Loyalists,2023-10-01,2024-10-19,384,165.606,1.051334702258727,9.51171875,4725.59
CUST_00033,217,9,773.7,3,3,2,332,Need Attention,2022-12-07,2024-05-29,539,85.96666666666667,1.4757015742642026,6.098794063079778,1572.88
CUST_00034,10,7,1213.13,5,2,3,523,Potential Loyalists,2024-01-31,2024-12-22,326,173.30428571428573,0.892539356605065,7.842791411042945,4077.57
CUST_00035,80,5,480.48,4,2,2,422,Potential Loyalists,2024-01-02,2024-10-13,285,96.096,0.7802874743326489,6.407894736842105,1847.32
