customer_id,recency,frequency,monetary,ml_cluster,rfm_segment,r_score,f_score,m_score
CUST_00001,52,5,577.02,2,Potential Loyalists,5,2,2
CUST_00002,915,1,76.42,5,Hibernating,1,1,1
CUST_00003,493,1,202.39,1,Hibernating,2,1,1
CUST_00004,312,2,37.12,4,Need Attention,3,1,1
CUST_00005,10,36,11341.89,3,Champions,5,5,5
CUST_00006,135,5,403.84,4,Potential Loyalists,4,2,2
CUST_00007,655,2,325.35,5,Hibernating,1,1,2
CUST_00008,228,9,1504.88,4,Need Attention,3,3,3
CUST_00009,472,1,11.33,1,Hibernating,2,1,1
CUST_00010,70,7,677.52,2,Potential Loyalists,4,2,2
CUST_00011,673,9,1612.08,1,At Risk,1,3,3
CUST_00012,805,2,244.65,5,Hibernating,1,1,1
CUST_00013,24,13,1747.08,2,Champions,5,4,4
CUST_00014,485,7,751.75,1,Hibernating,2,2,2
CUST_00015,322,7,880.02,4,Need Attention,3,2,3
CUST_00016,199,2,289.4,4,New Customers,4,1,2
CUST_00017,93,2,110.91,4,New Customers,4,1,1
CUST_00018,394,9,1478.55,1,At Risk,2,3,3
CUST_00019,545,1,69.2,1,Hibernating,1,1,1
CUST_00020,286,8,925.24,4,Need Attention,3,3,3
CUST_00021,289,8,888.1899999999999,4,Need Attention,3,3,3
CUST_00022,51,9,1035.84,2,Potential Loyalists,5,3,3
CUST_00023,673,2,138.95999999999998,5,Hibernating,1,1,1
CUST_00024,2,18,6751.1,7,Champions,5,4,5
CUST_00025,510,2,300.3,1,Hibernating,2,1,2
CUST_00026,2,14,1562.55,2,Loyal Customers,5,4,3
CUST_00027,4,16,2304.1800000000003,2,Champions,5,4,4
CUST_00028,236,1,94.21,4,Need Attention,3,1,1
CUST_00029,43,11,1980.22,2,Champions,5,4,4
CUST_00030,543,6,1287.53,1,Hibernating,1,2,3
CUST_00031,351,6,442.25,4,Need Attention,3,2,2
CUST_00032,467,11,1407.58,1,Loyal Customers,2,4,3
CUST_00033,452,5,539.88,1,Hibernating,2,2,2
CUST_00034,556,5,987.37,1,Hibernating,1,2,3
CUST_00035,416,7,755.52,1,Hibernating,2,2,2
CUST_00036,209,2,152.05,4,New Customers,4,1,1
CUST_00037,416,5,441.26,1,Hibernating,2,2,2
CUST_00038,147,15,2520.02,6,Champions,4,4,4
CUST_00039,52,5,748.37,2,Potential Loyalists,5,2,2
CUST_00040,65,39,10557.28,3,Champions,4,5,5
CUST_00041,760,1,166.36,5,Hibernating,1,1,1
CUST_00042,14,12,2434.56,2,Champions,5,4,4
CUST_00043,4,35,10468.66,3,Champions,5,5,5
CUST_00044,462,2,118.85,1,Hibernating,2,1,1
CUST_00045,623,27,5854.0,0,Cannot Lose Them,1,5,5
CUST_00046,483,2,42.61,1,Hibernating,2,1,1
CUST_00047,121,7,853.51,2,Potential Loyalists,4,2,3
CUST_00048,73,8,1264.31,2,Potential Loyalists,4,3,3
CUST_00049,430,27,6829.53,0,Cannot Lose Them,2,5,5
CUST_00050,390,9,1751.55,1,Cannot Lose Them,2,3,4
CUST_00051,529,5,468.24,1,Hibernating,2,2,2
CUST_00052,478,32,7411.91,0,Cannot Lose Them,2,5,5
CUST_00053,179,1,7.6,4,New Customers,4,1,1
CUST_00054,339,1,14.88,4,Need Attention,3,1,1
CUST_00055,43,9,1207.08,2,Potential Loyalists,5,3,3
CUST_00056,238,24,8404.11,7,Loyal Customers,3,5,5
CUST_00057,609,2,384.71000000000004,1,Hibernating,1,1,2
CUST_00058,9,11,1676.2,2,Champions,5,4,4
CUST_00059,882,1,47.65,5,Hibernating,1,1,1
CUST_00060,227,17,2848.35,6,Loyal Customers,3,4,4
CUST_00061,6,6,663.31,2,Potential Loyalists,5,2,2
CUST_00062,282,7,754.37,4,Need Attention,3,2,2
CUST_00063,232,41,10135.85,3,Loyal Customers,3,5,5
CUST_00064,29,16,2273.45,2,Champions,5,4,4
CUST_00065,256,6,929.6700000000001,4,Need Attention,3,2,3
CUST_00066,106,20,7763.81,7,Champions,4,5,5
CUST_00067,34,8,1685.13,2,Potential Loyalists,5,3,4
CUST_00068,1,24,5749.09,7,Champions,5,5,5
CUST_00069,711,2,163.29,5,Hibernating,1,1,1
CUST_00070,507,2,125.14,1,Hibernating,2,1,1
CUST_00071,614,2,92.5,5,Hibernating,1,1,1
CUST_00072,118,31,9474.07,3,Champions,4,5,5
CUST_00073,2,35,12889.300000000001,3,Champions,5,5,5
CUST_00074,271,2,265.93,4,Need Attention,3,1,1
CUST_00075,23,40,14180.94,3,Champions,5,5,5
CUST_00076,540,3,421.11,1,Hibernating,1,2,2
CUST_00077,541,10,1267.9,1,At Risk,1,3,3
CUST_00078,17,25,6469.62,7,Champions,5,5,5
CUST_00079,217,12,1917.99,6,Loyal Customers,3,4,4
CUST_00080,183,6,936.72,4,Potential Loyalists,4,2,3
CUST_00081,334,2,65.74,4,Need Attention,3,1,1
CUST_00082,213,27,5452.78,7,Champions,4,5,5
CUST_00083,166,18,1780.24,6,Champions,4,4,4
CUST_00084,387,1,82.04,4,Hibernating,2,1,1
CUST_00085,480,2,146.89,1,Hibernating,2,1,1
CUST_00086,288,1,58.72,4,Need Attention,3,1,1
CUST_00087,844,1,18.91,5,Hibernating,1,1,1
CUST_00088,376,8,365.95,4,At Risk,2,3,2
CUST_00089,490,15,2703.36,6,Cannot Lose Them,2,4,4
CUST_00090,450,5,653.8299999999999,1,Hibernating,2,2,2
CUST_00091,111,6,947.34,2,Potential Loyalists,4,2,3
CUST_00092,688,2,74.63,5,Hibernating,1,1,1
CUST_00093,276,36,11520.15,3,Loyal Customers,3,5,5
CUST_00094,185,13,2498.08,6,Champions,4,4,4
CUST_00095,670,10,1934.65,1,Cannot Lose Them,1,3,4
CUST_00096,811,4,339.31,5,Hibernating,1,2,2
CUST_00097,78,5,631.25,2,Potential Loyalists,4,2,2
CUST_00098,264,36,9726.13,3,Loyal Customers,3,5,5
CUST_00099,332,1,46.44,4,Need Attention,3,1,1
