transaction_id,customer_id,transaction_date,category,amount
TXN_064605,CUST_05726,02-11-2022,Clothing,124.11
TXN_050656,CUST_04505,10-02-2023,Clothing,162.98
TXN_025685,CUST_02304,16-07-2023,Home & Garden,50.6
TXN_012352,CUST_01094,26-10-2023,Electronics,46.6
TXN_026714,CUST_02396,14-10-2023,Home & Garden,476.43
TXN_000485,CUST_00054,28-01-2024,Books,14.88
TXN_030868,CUST_02757,15-01-2024,Sports,276.22
TXN_034761,CUST_03117,07-03-2024,Electronics,292.97
TXN_047380,CUST_04223,11-02-2024,Home & Garden,264.55
TXN_031524,CUST_02815,13-06-2024,Electronics,271.78
TXN_042804,CUST_03854,28-06-2022,Sports,65.15
TXN_029570,CUST_02643,08-06-2023,Clothing,71.2
TXN_049409,CUST_04396,25-11-2023,Sports,70.25
TXN_032865,CUST_02947,26-06-2024,Books,30.65
TXN_021464,CUST_01934,09-04-2024,Electronics,101.45
TXN_051141,CUST_04548,25-07-2022,Electronics,374.25
TXN_033252,CUST_02984,19-11-2023,Sports,58.92
TXN_018574,CUST_01653,09-11-2024,Clothing,101.47
TXN_067546,CUST_05987,24-08-2023,Sports,381.88
TXN_017881,CUST_01590,15-08-2022,Sports,293.76
TXN_009039,CUST_00801,17-01-2023,Clothing,281.52
TXN_064502,CUST_05717,07-12-2023,Clothing,51.49
TXN_066361,CUST_05883,23-04-2023,Clothing,59.37
TXN_050204,CUST_04464,30-10-2024,Books,58.28
TXN_042565,CUST_03828,06-01-2024,Books,19.86
TXN_063078,CUST_05600,04-12-2023,Home & Garden,259.08
TXN_017782,CUST_01583,05-12-2022,Sports,48.57
TXN_051391,CUST_04566,29-09-2022,Books,17.85
TXN_044963,CUST_04019,27-03-2023,Sports,337.02
TXN_032937,CUST_02954,28-07-2023,Clothing,136.82
TXN_060560,CUST_05374,04-02-2023,Sports,204.55
TXN_056657,CUST_05012,06-12-2024,Books,85.2
TXN_004531,CUST_00393,15-12-2024,Electronics,313.88
TXN_040266,CUST_03597,21-01-2024,Electronics,186.23
TXN_049627,CUST_04415,18-08-2024,Books,73.46
TXN_009376,CUST_00833,07-07-2024,Sports,165.65
TXN_047511,CUST_04236,30-03-2023,Sports,57.09
TXN_019264,CUST_01724,08-05-2024,Sports,151.15
TXN_014944,CUST_01325,12-08-2023,Books,16.61
TXN_032049,CUST_02864,02-09-2024,Clothing,40.76
TXN_050834,CUST_04521,21-06-2023,Clothing,145.91
TXN_067229,CUST_05961,28-05-2024,Electronics,451.57
TXN_054048,CUST_04786,30-06-2024,Books,48.68
TXN_004982,CUST_00436,12-08-2024,Books,55.17
TXN_018036,CUST_01603,09-09-2024,Home & Garden,274.72
TXN_066851,CUST_05933,22-06-2022,Home & Garden,51.22
TXN_044615,CUST_03994,02-10-2023,Sports,225.37
TXN_040706,CUST_03636,17-03-2024,Books,13.62
TXN_046373,CUST_04134,19-02-2024,Books,49.48
TXN_014184,CUST_01255,29-01-2023,Books,24.14
TXN_066181,CUST_05866,15-06-2023,Clothing,196.67
TXN_062736,CUST_05571,15-08-2023,Electronics,780.55
TXN_014010,CUST_01240,09-07-2022,Clothing,44.8
TXN_057610,CUST_05108,18-06-2023,Clothing,33.46
TXN_014665,CUST_01294,26-12-2024,Electronics,238.98
TXN_028481,CUST_02549,10-12-2022,Books,57.87
TXN_055937,CUST_04957,08-08-2024,Clothing,45.58
TXN_051255,CUST_04558,16-02-2023,Electronics,113.72
TXN_010254,CUST_00914,18-10-2023,Clothing,223.38
TXN_053344,CUST_04729,26-10-2022,Clothing,80.18
TXN_021139,CUST_01901,13-11-2023,Electronics,263.93
TXN_063548,CUST_05639,29-02-2024,Books,44.41
TXN_037303,CUST_03348,08-07-2023,Home & Garden,399.87
TXN_032038,CUST_02863,21-05-2023,Clothing,56.77
TXN_035888,CUST_03207,13-01-2024,Home & Garden,299.46
TXN_044445,CUST_03984,18-08-2023,Books,19.09
TXN_012190,CUST_01081,15-11-2023,Books,45.55
TXN_066182,CUST_05866,05-07-2023,Books,47.09
TXN_050135,CUST_04459,13-04-2024,Books,19.31
TXN_011048,CUST_00970,14-02-2024,Home & Garden,200
TXN_045048,CUST_04028,03-06-2023,Electronics,235.49
TXN_002559,CUST_00228,20-09-2024,Books,25.69
TXN_032466,CUST_02908,28-09-2023,Electronics,683.45
TXN_066702,CUST_05921,20-09-2022,Electronics,113.92
TXN_038883,CUST_03474,28-09-2023,Home & Garden,192.97
TXN_004129,CUST_00358,01-11-2022,Clothing,184.33
TXN_039261,CUST_03508,30-11-2024,Home & Garden,168.46
TXN_054076,CUST_04789,14-03-2023,Books,22.01
TXN_013216,CUST_01168,28-10-2023,Home & Garden,101.41
TXN_024067,CUST_02170,30-09-2023,Clothing,54.11
TXN_058611,CUST_05197,21-11-2022,Sports,325.29
TXN_031290,CUST_02790,11-10-2024,Electronics,330.96
TXN_059603,CUST_05289,09-04-2023,Electronics,183.83
TXN_018620,CUST_01661,17-01-2024,Books,23.68
TXN_046134,CUST_04112,04-05-2024,Home & Garden,506.86
TXN_000268,CUST_00038,13-03-2024,Books,33.17
TXN_014487,CUST_01280,22-08-2022,Home & Garden,36.13
TXN_031941,CUST_02854,02-12-2022,Clothing,79.61
TXN_034469,CUST_03096,12-07-2023,Books,29.01
TXN_021050,CUST_01895,30-09-2023,Electronics,571.26
TXN_013965,CUST_01237,04-03-2023,Clothing,190.95
TXN_012038,CUST_01063,30-05-2024,Books,70.34
TXN_031895,CUST_02851,15-12-2022,Sports,331.67
TXN_013677,CUST_01211,03-10-2023,Home & Garden,48.09
TXN_016438,CUST_01470,11-10-2022,Books,33.44
TXN_041469,CUST_03718,16-10-2022,Books,27.31
TXN_016436,CUST_01470,04-07-2022,Clothing,93.76
TXN_043617,CUST_03922,09-06-2023,Books,34.89
TXN_030175,CUST_02696,26-12-2024,Electronics,489.7
TXN_040269,CUST_03597,15-04-2024,Home & Garden,74.38
TXN_020409,CUST_01827,20-01-2023,Electronics,369.23
TXN_007065,CUST_00623,11-02-2024,Clothing,137.74
TXN_004066,CUST_00355,29-11-2023,Electronics,1332.99
TXN_054449,CUST_04814,18-03-2024,Electronics,1029.52
TXN_020849,CUST_01874,18-03-2023,Home & Garden,202.07
TXN_037428,CUST_03358,16-12-2022,Clothing,125.84
TXN_004879,CUST_00426,02-03-2023,Books,36.23
TXN_032913,CUST_02952,08-01-2023,Home & Garden,357.35
TXN_046876,CUST_04178,27-12-2023,Home & Garden,77.89
TXN_024544,CUST_02220,23-11-2022,Sports,253.81
TXN_066141,CUST_05864,14-05-2024,Home & Garden,370.73
TXN_059178,CUST_05253,26-09-2024,Home & Garden,85.1
TXN_026578,CUST_02384,11-05-2023,Clothing,148.07
TXN_059356,CUST_05271,22-08-2023,Sports,49.27
TXN_019371,CUST_01733,25-06-2023,Home & Garden,77.25
TXN_029451,CUST_02630,04-04-2024,Books,37.02
TXN_038811,CUST_03468,11-11-2024,Sports,162.55
TXN_001932,CUST_00180,23-03-2022,Clothing,62.18
